time_stamps,processed_1_not_processed_0
2002351.1840,0
2002351.1845,0
2002351.2020,0
2002352.1745,0
2002352.1750,0
2002352.1925,0
2002352.1930,0
2002353.1830,0
2002353.1835,0
2002353.2010,0
2002354.1735,0
2002354.1740,0
2002354.1915,0
2002354.2050,0
2002355.1820,0
2002355.1955,0
2002355.2000,0
2002356.1900,0
2002356.1905,0
2002357.1805,0
2002357.1810,0
2002357.1945,0
2002357.1950,0
2002358.1850,0
2002358.2025,0
2002359.1755,0
2002359.1930,0
2002359.1935,0
2002360.1835,0
2002360.1840,0
2002360.2015,0
2002361.1740,0
2002361.1745,0
2002361.1920,0
2002361.1925,0
2002362.1825,0
2002362.2005,0
2002363.1730,0
2002363.1905,0
2002363.1910,0
2002364.1810,0
2002364.1815,0
2002364.1950,0
2002364.1955,0
2002365.1855,0
2002365.1900,0
2003001.1800,0
2003001.1940,0
2003002.1840,0
2003002.1845,0
2003002.2020,0
2003003.1745,0
2003003.1750,0
2003003.1925,0
2003003.1930,0
2003004.1830,0
2003004.1835,0
2003004.2010,0
2003005.1735,0
2003005.1740,0
2003005.1915,0
2003006.1955,0
2003006.2000,0
2003007.1725,0
2003008.1805,0
2003008.1810,0
2003008.1945,0
2003009.1850,0
2003009.2025,0
2003010.1750,0
2003010.1755,0
2003010.1930,0
2003010.1935,0
2003011.1835,0
2003011.1840,0
2003011.2015,0
2003012.1740,0
2003012.1745,0
2003012.1920,0
2003012.1925,0
2003013.1825,0
2003013.2000,0
2003013.2005,0
2003014.1730,0
2003014.1905,0
2003014.1910,0
2003015.1815,0
2003015.1950,0
2003015.1955,0
2003017.1800,0
2003017.1940,0
2003018.1840,0
2003018.1845,0
2003018.2020,0
2003019.1745,0
2003019.1750,0
2003019.1925,0
2003019.1930,0
2003020.1830,0
2003020.1835,0
2003020.2010,0
2003021.1735,0
2003021.1740,0
2003021.1915,0
2003021.2050,0
2003022.1815,0
2003022.1820,0
2003022.1955,0
2003022.2000,0
2003023.1900,0
2003023.1905,0
2003024.1805,0
2003024.1810,0
2003024.1945,0
2003024.1950,0
2003025.1850,0
2003025.2025,0
2003026.1755,0
2003026.1930,0
2003026.1935,0
2003027.1835,0
2003027.1840,0
2003027.2015,0
2003028.1740,0
2003028.1745,0
2003028.1920,0
2003028.1925,0
2003029.1825,0
2003029.2000,0
2003029.2005,0
2003030.1730,0
2003030.1905,0
2003030.1910,0
2003031.1810,0
2003031.1815,0
2003031.1950,0
2003031.1955,0
2003033.1800,0
2003033.1805,0
2003033.1940,0
2003034.1840,0
2003034.1845,0
2003034.2020,0
2003035.1745,0
2003035.1750,0
2003035.1925,0
2003035.1930,0
2003036.1830,0
2003036.1835,0
2003036.2010,0
2003037.1735,0
2003037.1740,0
2003037.1915,0
2003037.2050,0
2003038.1815,0
2003038.1820,0
2003038.1955,0
2003038.2000,0
2003039.1900,0
2003039.1905,0
2003040.1805,0
2003040.1810,0
2003040.1945,0
2003040.1950,0
2003041.1850,0
2003041.2025,0
2003042.1755,0
2003042.1930,0
2003042.1935,0
2003043.1835,0
2003043.1840,0
2003043.2015,0
2003044.1740,0
2003044.1745,0
2003044.1920,0
2003044.1925,0
2003045.1825,0
2003045.2000,0
2003045.2005,0
2003046.1730,0
2003046.1905,0
2003046.1910,0
2003047.1810,0
2003047.1815,0
2003047.1950,0
2003047.1955,0
2003048.1855,0
2003048.1900,0
2003049.1800,0
2003049.1940,0
2003050.1840,0
2003050.1845,0
2003050.2020,0
2003051.1745,0
2003051.1750,0
2003051.1925,0
2003051.1930,0
2003052.1830,0
2003052.1835,0
2003052.2010,0
2003053.1735,0
2003053.1740,0
2003053.1915,0
2003054.1815,0
2003054.1820,0
2003054.1955,0
2003054.2000,0
2003055.1725,0
2003055.1900,0
2003055.1905,0
2003056.1805,0
2003056.1810,0
2003056.1945,0
2003057.1850,0
2003057.2025,0
2003058.1750,0
2003058.1755,0
2003058.1930,0
2003058.1935,0
2003059.1835,0
2003059.1840,0
2003059.2015,0
2003060.1740,0
2003060.1745,0
2003060.1920,0
2003061.1825,0
2003061.2000,0
2003061.2005,0
2003062.1730,0
2003062.1905,0
2003062.1910,0
2003063.1810,0
2003063.1815,0
2003063.1950,0
2003063.1955,0
2003064.1855,0
2003064.1900,0
2003065.1800,0
2003066.1840,0
2003066.1845,0
2003066.2020,0
2003067.1745,0
2003067.1750,0
2003067.1925,0
2003067.1930,0
2003068.1830,0
2003068.1835,0
2003068.2010,0
2003069.1735,0
2003069.1915,0
2003070.1815,0
2003070.1820,0
2003070.1955,0
2003070.2000,0
2003071.1725,0
2003071.1900,0
2003071.1905,0
2003072.1805,0
2003072.1810,0
2003072.1945,0
2003073.1850,0
2003073.2025,0
2003074.1750,0
2003074.1755,0
2003074.1930,0
2003074.1935,0
2003075.1835,0
2003075.1840,0
2003075.2015,0
2003076.1740,0
2003076.1745,0
2003076.1920,0
2003077.1825,0
2003077.2000,0
2003077.2005,0
2003078.1730,0
2003078.1905,0
2003078.1910,0
2003079.1810,0
2003079.1815,0
2003079.1950,0
2003079.1955,0
2003080.1855,0
2003080.1900,0
2003081.1800,0
2003081.1935,0
2003081.1940,0
2003082.1840,0
2003082.1845,0
2003082.2020,0
2003083.1745,0
2003083.1750,0
2003083.1925,0
2003083.1930,0
2003084.1830,0
2003084.1835,0
2003084.2010,0
2003085.1735,0
2003085.1915,0
2003086.1815,0
2003086.1820,0
2003086.1955,0
2003086.2000,0
2003087.1725,0
2003087.1900,0
2003087.1905,0
2003088.1805,0
2003088.1810,0
2003088.1945,0
2003089.1850,0
2003089.2025,0
2003090.1750,0
2003090.1755,0
2003090.1930,0
2003090.1935,0
2003091.1835,0
2003091.1840,0
2003091.2015,0
2003092.1740,0
2003092.1745,0
2003092.1920,0
2003092.1925,0
2003093.1825,0
2003093.2000,0
2003093.2005,0
2003094.1730,0
2003094.1905,0
2003094.1910,0
2003095.1810,0
2003095.1815,0
2003095.1950,0
2003095.1955,0
2003096.1855,0
2003096.1900,0
2003097.1800,0
2003097.1935,0
2003097.1940,0
2003098.1840,0
2003098.1845,0
2003098.2020,0
2003099.1745,0
2003099.1750,0
2003099.1925,0
2003099.1930,0
2003100.1830,0
2003100.1835,0
2003100.2010,0
2003101.1735,0
2003101.1915,0
2003102.1815,0
2003102.1820,0
2003102.1955,0
2003102.2000,0
2003103.1725,0
2003103.1900,0
2003103.1905,0
2003104.1805,0
2003104.1810,0
2003104.1945,0
2003105.1850,0
2003105.2025,0
2003106.1750,0
2003106.1755,0
2003106.1930,0
2003106.1935,0
2003107.1835,0
2003107.1840,0
2003107.2015,0
2003108.1740,0
2003108.1745,0
2003108.1920,0
2003108.2055,0
2003109.1825,0
2003109.2000,0
2003109.2005,0
2003110.1730,0
2003110.1905,0
2003110.1910,0
2003111.1810,0
2003111.1815,0
2003111.1950,0
2003111.1955,0
2003112.1855,0
2003113.1800,0
2003113.1935,0
2003113.1940,0
2003114.1840,0
2003114.1845,0
2003114.2020,0
2003115.1745,0
2003115.1750,0
2003115.1925,0
2003115.1930,0
2003116.1830,0
2003116.1835,0
2003116.2010,0
2003117.1735,0
2003117.1910,0
2003117.1915,0
2003118.1815,0
2003118.1820,0
2003118.1955,0
2003119.1725,0
2003119.1900,0
2003119.1905,0
2003121.1845,0
2003121.1850,0
2003121.2025,0
2003122.1750,0
2003122.1755,0
2003122.1930,0
2003122.1935,0
2003123.1835,0
2003123.1840,0
2003123.2015,0
2003124.1740,0
2003124.1745,0
2003124.1920,0
2003125.1825,0
2003125.2000,0
2003125.2005,0
2003126.1730,0
2003126.1905,0
2003126.1910,0
2003127.1810,0
2003127.1815,0
2003127.1950,0
2003128.1855,0
2003129.1800,0
2003129.1935,0
2003129.1940,0
2003130.1840,0
2003130.1845,0
2003130.2020,0
2003131.1745,0
2003131.1750,0
2003131.1925,0
2003131.1930,0
2003132.1830,0
2003132.1835,0
2003132.2010,0
2003133.1735,0
2003133.1910,0
2003133.1915,0
2003134.1815,0
2003134.1820,0
2003134.1955,0
2003134.2000,0
2003135.1725,0
2003135.1900,0
2003135.1905,0
